"5439","1","houston, texas, usa"
"73651","1","grapevine, texas, usa"
"88733","1","houston, texas, usa"
"102967","1","olympia, washington, usa"
"104636","1","youngstown, ohio, usa"
"123825","1","vancouver, british columbia, canada"
"124489","1","mt.view, hawaii, usa"
"146113","1","cary, north carolina, usa"
"156269","1","chicago, illinois, usa"
"160165","1","burlington, vermont, usa"
"179718","1","leroy, ,"
"232131","1","oakland, california, usa"
"29855","1","morris, connecticut, usa"
"66725","1","edinboro, pennsylvania, usa"
"189782","1","marionville, missouri, usa"
"162738","1","waterford, michigan, usa"
"207563","1","montgomery, alabama, usa"
"230522","1","colorado springs, colorado, usa"
"60244","1","alvin, texas, usa"
"100906","1","seattle, washington, usa"
"101606","1","niagara falls, ontario, canada"
"102154","1","salem, oregon, usa"
"138844","1","winnipeg, manitoba, canada"
"183800","1","quebec, quebec, canada"
"195033","1","winnipeg, manitoba, canada"
"277427","1","gilbert, arizona, usa"
"278026","1","east orange, new jersey, usa"
"278582","1","slidell, louisiana, usa"
"6251","1","wahiawa, hawaii, usa"
"6543","1","strafford, missouri, usa"
"6575","1","seattle, washington, usa"
"7082","1","carlisle, pennsylvania, usa"
"7346","1","sunnyvale, california, usa"
"7915","1","st. paul, minnesota, usa"
"8067","1","owings mills, maryland, usa"
"8187","1","bend, oregon, usa"
"11224","1","tumwater, washington, usa"
"11601","1","brooklyn, new york, usa"
"11676","1","n/a, n/a, n/a"
"12965","1","nishinomiya, hyogo, japan"
"13540","1","doha, doha, qatar"
"13552","1","cordova, tennessee, usa"
"15408","1","cary, north carolina, usa"
"16781","1","marion, iowa, usa"
"16795","1","mechanicsville, maryland, usa"
"16943","1","sydney, new south wales, australia"
"16966","1","waterloo, ontario, canada"
"17761","1","pinckney, michigan, usa"
"20860","1","las vegas, nevada, usa"
"21014","1","fresno, california, usa"
"21660","1","chattanooga, tennessee, usa"
"22074","1","san luis obispo, california, usa"
"22752","1","merritt, british columbia, canada"
"23511","1","chapel hill, north carolina, usa"
"23547","1","mcallen, texas, usa"
"23768","1","st. louis, missouri, usa"
"25981","1","nj, new jersey, usa"
