"8075","J.A. Jance","0380896419","http://images.amazon.com/images/P/0380896419.01.LZZZZZZZ.jpg","http://images.amazon.com/images/P/0380896419.01.MZZZZZZZ.jpg","2003-12-31 11:00:00 UTC","Avon","http://images.amazon.com/images/P/0380896419.01.THUMBZZZ.jpg","Injustice for All: A J.P. Beaumont Mystery"
"8076","Candice Bergen","0671252941","http://images.amazon.com/images/P/0671252941.01.LZZZZZZZ.jpg","http://images.amazon.com/images/P/0671252941.01.MZZZZZZZ.jpg","1983-12-31 11:00:00 UTC","Simon &amp; Schuster","http://images.amazon.com/images/P/0671252941.01.THUMBZZZ.jpg","Knock Wood"
"8077","George Mair","155972272X","http://images.amazon.com/images/P/155972272X.01.LZZZZZZZ.jpg","http://images.amazon.com/images/P/155972272X.01.MZZZZZZZ.jpg","1994-12-31 11:00:00 UTC","Carol Publishing Corporation","http://images.amazon.com/images/P/155972272X.01.THUMBZZZ.jpg","Bette: An Intimate Biography of Bette Midler"
"8078","G. Garfield Crimmins","0393046338","http://images.amazon.com/images/P/0393046338.01.LZZZZZZZ.jpg","http://images.amazon.com/images/P/0393046338.01.MZZZZZZZ.jpg","1997-12-31 11:00:00 UTC","W. W. Norton &amp; Company","http://images.amazon.com/images/P/0393046338.01.THUMBZZZ.jpg","The Republic of Dreams: A Reverie"
"8079","Janet Evanovich","0671001795","http://images.amazon.com/images/P/0671001795.01.LZZZZZZZ.jpg","http://images.amazon.com/images/P/0671001795.01.MZZZZZZZ.jpg","1995-12-31 11:00:00 UTC","Pocket","http://images.amazon.com/images/P/0671001795.01.THUMBZZZ.jpg","Two for the Dough"
"8080","Ann Linnea","0316526835","http://images.amazon.com/images/P/0316526835.01.LZZZZZZZ.jpg","http://images.amazon.com/images/P/0316526835.01.MZZZZZZZ.jpg","1994-12-31 11:00:00 UTC","Little Brown &amp; Co","http://images.amazon.com/images/P/0316526835.01.THUMBZZZ.jpg","Deep Water Passage: A Spiritual Journey at Midlife"
"8081","Barbara Sher","0385307888","http://images.amazon.com/images/P/0385307888.01.LZZZZZZZ.jpg","http://images.amazon.com/images/P/0385307888.01.MZZZZZZZ.jpg","1993-12-31 11:00:00 UTC","Delacorte Press","http://images.amazon.com/images/P/0385307888.01.THUMBZZZ.jpg","I Could Do Anything If I Only Knew What It Was: How to Discover What You Really Want and How to Get It"
"8082","James A. Michener","039447970X","http://images.amazon.com/images/P/039447970X.01.LZZZZZZZ.jpg","http://images.amazon.com/images/P/039447970X.01.MZZZZZZZ.jpg","1973-12-31 12:00:00 UTC","Random House","http://images.amazon.com/images/P/039447970X.01.THUMBZZZ.jpg","Centennial"
"8083","Alice Hoffman","0425161285","http://images.amazon.com/images/P/0425161285.01.LZZZZZZZ.jpg","http://images.amazon.com/images/P/0425161285.01.MZZZZZZZ.jpg","1996-12-31 11:00:00 UTC","Berkley Publishing Group","http://images.amazon.com/images/P/0425161285.01.THUMBZZZ.jpg","Turtle Moon"
"8084","C. S. Lewis","0156904365","http://images.amazon.com/images/P/0156904365.01.LZZZZZZZ.jpg","http://images.amazon.com/images/P/0156904365.01.MZZZZZZZ.jpg","1979-12-31 11:00:00 UTC","Harvest Books","http://images.amazon.com/images/P/0156904365.01.THUMBZZZ.jpg","Till We Have Faces: A Myth Retold"
"8085","Andrea De Carlo","8804342838","http://images.amazon.com/images/P/8804342838.01.LZZZZZZZ.jpg","http://images.amazon.com/images/P/8804342838.01.MZZZZZZZ.jpg","1990-12-31 11:00:00 UTC","A. Mondadori","http://images.amazon.com/images/P/8804342838.01.THUMBZZZ.jpg","Due di due (Bestsellers)"
"8086","Phoebe McPhee","0743448421","http://images.amazon.com/images/P/0743448421.01.LZZZZZZZ.jpg","http://images.amazon.com/images/P/0743448421.01.MZZZZZZZ.jpg","2001-12-31 11:00:00 UTC","MTV","http://images.amazon.com/images/P/0743448421.01.THUMBZZZ.jpg","Alphabetical Hook-Up List A-J"
